#date,category,value
#15/01/2021,Internet,-24.95
#13/01/2021,Electricity,-96
#06/01/2021,Work,80
#01/01/2021,Friends & Family,350
#01/01/2021,Appartment,-40
#01/01/2021,Friends & Family,24.78

#31/12/2020,Appartment,-256.97
#27/12/2020,Taxes,1445.07
#26/12/2020,Work,2500
#17/12/2020,Water,-72.65
#16/12/2020,Medical & Insurances,-300
#15/12/2020,Internet,-24.95
#13/12/2020,Electricity,-96
#06/12/2020,Work,80
#04/12/2020,Garbage & Recycling,-79.49
#01/12/2020,Friends & Family,350
#01/12/2020,Appartment,-40
#01/12/2020,Friends & Family,24.78

30/11/2020,Appartment,-258.50
26/11/2020,Work,1900
15/11/2020,Internet,-24.95
13/11/2020,Electricity,-96

14/11/2020,Entertainment,-14
12/11/2020,Food & Drinks,-4.63
10/11/2020,Entertainment,-7.10
10/11/2020,Food & Drinks,-8.20
06/11/2020,Work,126
06/11/2020,Food & Drinks,-1.27
06/11/2020,Toys & Electronics,-82.80
05/11/2020,Toys & Electronics,105
04/11/2020,Food & Drinks,-13.52
03/11/2020,Work,-43.50
02/11/2020,Appartment,-40
02/11/2020,Friends & Family,24.78
01/11/2020,Friends & Family,350
30/10/2020,Food & Drinks,-31.30
30/10/2020,Appartment,-260.02
29/10/2020,Food & Drinks,-17.29
28/10/2020,Food & Drinks,-29.98
27/10/2020,Entertainment,-1
27/10/2020,Food & Drinks,-1.93
26/10/2020,Work,2264.55
26/10/2020,Toys & Electronics,12.7
24/10/2020,Food & Drinks,-3
22/10/2020,Water,-56.58
21/10/2020,Friends & Family,0.3
21/10/2020,Entertainment,-35
21/10/2020,Entertainment,-5.2
17/10/2020,Friends & Family,30
17/10/2020,Entertainment,-2.5
17/10/2020,Taxes,-708.28
16/10/2020,Food & Drinks,-29.19
15/10/2020,Food & Drinks,-9
15/10/2020,Internet,-24.95
12/10/2020,Electricity,-96
12/10/2020,Appartment,5000
10/10/2020,Entertainment,-85.79
09/10/2020,Friends & Family,0.11
07/10/2020,Taxes,-35
06/10/2020,Work,112
02/10/2020,Work,-59.89
02/10/2020,Food & Drinks,-0.74
01/10/2020,Friends & Family,350
01/10/2020,Appartment,-40
01/10/2020,Friends & Family,24.78
30/06/2020,Taxes,7.10
30/09/2020,Friends & Family,2.1
30/09/2020,Appartment,-261.55
29/09/2020,Medical & Insurances,82.5
28/09/2020,Food & Drinks,-6.10
28/09/2020,Medical & Insurances,-98
25/09/2020,Work,2273.95
23/09/2020,Entertainment,-11
22/09/2020,Food & Drinks,-4.33
21/09/2020,Friends & Family,10.52
19/09/2020,Friends & Family,10
18/09/2020,Food & Drinks,-25.80
16/09/2020,Friends & Family,0.25
15/09/2020,Food & Drinks,-3
15/09/2020,Toys & Electronics,22
14/09/2020,Internet,-24.95
10/09/2020,Electricity,-96
11/09/2020,Friends & Family,0.75
08/09/2020,Friends & Family,8.08
07/09/2020,Food & Drinks,-3.87
05/09/2020,Food & Drinks,-14.5
05/09/2020,Entertainment,-11
04/09/2020,Work,112
04/09/2020,Friends & Family,10
03/09/2020,Food & Drinks,-1.06
01/09/2020,Toys & Electronics,11.7
01/09/2020,Friends & Family,24.78
01/09/2020,Appartment,-40
01/09/2020,Friends & Family,350
31/08/2020,Appartment,-263.08
28/08/2020,Friends & Family,10
27/08/2020,Toys & Electronics,6
26/08/2020,Friends & Family,5.12
25/08/2020,Clothes,-74.99
24/08/2020,Work,2266.72
24/08/2020,Toys & Electronics,35.70
23/08/2020,Toys & Electronics,155
19/08/2020,Friends & Family,8.42
18/08/2020,Friends & Family,2.5
15/08/2020,Friends & Family,5
14/08/2020,Friends & Family,0.54
13/08/2020,Internet,-24.95
11/08/2020,Friends & Family,15
11/08/2020,Food & Drinks,-10.78
10/08/2020,Toys & Electronics,-324.27
10/08/2020,Electricity,-96
10/08/2020,Toys & Electronics,-70.9
08/08/2020,Toys & Electronics,25
07/08/2020,Toys & Electronics,-3200
06/08/2020,Work,147
04/08/2020,Friends & Family,10
03/08/2020,Appartment,-40
03/08/2020,Friends & Family,24.78
01/08/2020,Friends & Family,350
01/08/2020,Friends & Family,-0.63
31/07/2020,Appartment,-264.61
30/07/2020,Food & Drinks,-26.68
30/07/2020,Toys & Electronics,-4.4
29/07/2020,Toys & Electronics,70
29/07/2020,Garbage & Recycling,-42.5
29/07/2020,Friends & Family,10
28/07/2020,Food & Drinks,-4.2
27/07/2020,Toys & Electronics,30
26/07/2020,Entertainment,-10
24/07/2020,Food & Drinks,-3.74
23/07/2020,Work,2261.28
23/07/2020,Toys & Electronics,20
21/07/2020,Friends & Family,5
18/07/2020,Toys & Electronics,85
17/07/2020,Food & Drinks,-36.37
15/07/2020,Internet,-24.95
13/07/2020,Electricity,-96
11/07/2020,Friends & Family,20
09/07/2020,Entertainment,-43.78
07/07/2020,Toys & Electronics,45.70
07/07/2020,Friends & Family,5.10
06/07/2020,Food & Drinks,-10.37
06/07/2020,Work,112
06/07/2020,Water,-78.66
04/07/2020,Entertainment,-10.50
01/07/2020,Friends & Family,350
01/07/2020,Appartment,-40
01/07/2020,Friends & Family,24.78
01/07/2020,Toys & Electronics,-137.57
01/07/2020,Food & Drinks,-5.6
30/06/2020,Appartment,-266.14
30/06/2020,Taxes,4.60
26/06/2020,Food & Drinks,-21.63
24/06/2020,Friends & Family,1.7
23/06/2020,Work,3594.31
